TERRITORIO	TIME_PERIOD	MEDIDAS	OBS_VALUE	ESTADO_OBSERVACION	CONFIDENCIALIDAD_OBSERVACION
Canarias	2023	Índice de Gini	31.7		
Canarias	2022	Índice de Gini	32.5		
Canarias	2021	Índice de Gini	33.2		
Canarias	2020	Índice de Gini	33.8		
Canarias	2019	Índice de Gini	33.3		
Canarias	2018	Índice de Gini	33.9		
Canarias	2017	Índice de Gini	34.4		
Canarias	2016	Índice de Gini	35.8		
Canarias	2015	Índice de Gini	36.1		
Canarias	2023	Distribución de la renta P80/P20	2.6		
Canarias	2022	Distribución de la renta P80/P20	2.8		
Canarias	2021	Distribución de la renta P80/P20	2.8		
Canarias	2020	Distribución de la renta P80/P20	2.8		
Canarias	2019	Distribución de la renta P80/P20	2.9		
Canarias	2018	Distribución de la renta P80/P20	2.7		
Canarias	2017	Distribución de la renta P80/P20	2.9		
Canarias	2016	Distribución de la renta P80/P20	3.1		
Canarias	2015	Distribución de la renta P80/P20	3		
Las Palmas	2023	Índice de Gini	31.3		
Las Palmas	2022	Índice de Gini	32.1		
Las Palmas	2021	Índice de Gini	32.9		
Las Palmas	2020	Índice de Gini	33.3		
Las Palmas	2019	Índice de Gini	32.8		
Las Palmas	2018	Índice de Gini	33.3		
Las Palmas	2017	Índice de Gini	33.8		
Las Palmas	2016	Índice de Gini	35.2		
Las Palmas	2015	Índice de Gini	35.6		
Las Palmas	2023	Distribución de la renta P80/P20	2.6		
Las Palmas	2022	Distribución de la renta P80/P20	2.6		
Las Palmas	2021	Distribución de la renta P80/P20	2.8		
Las Palmas	2020	Distribución de la renta P80/P20	2.9		
Las Palmas	2019	Distribución de la renta P80/P20	2.7		
Las Palmas	2018	Distribución de la renta P80/P20	2.8		
Las Palmas	2017	Distribución de la renta P80/P20	3		
Las Palmas	2016	Distribución de la renta P80/P20	3.1		
Las Palmas	2015	Distribución de la renta P80/P20	3.1		
Lanzarote	2023	Índice de Gini	29.8		
Lanzarote	2022	Índice de Gini	30.6		
Lanzarote	2021	Índice de Gini	32.3		
Lanzarote	2020	Índice de Gini	32.6		
Lanzarote	2019	Índice de Gini	31		
Lanzarote	2018	Índice de Gini	31.3		
Lanzarote	2017	Índice de Gini	31.7		
Lanzarote	2016	Índice de Gini	33.3		
Lanzarote	2015	Índice de Gini	33.9		
Lanzarote	2023	Distribución de la renta P80/P20	2.4		
Lanzarote	2022	Distribución de la renta P80/P20	2.5		
Lanzarote	2021	Distribución de la renta P80/P20	2.7		
Lanzarote	2020	Distribución de la renta P80/P20	2.7		
Lanzarote	2019	Distribución de la renta P80/P20	2.6		
Lanzarote	2018	Distribución de la renta P80/P20	2.5		
Lanzarote	2017	Distribución de la renta P80/P20	2.7		
Lanzarote	2016	Distribución de la renta P80/P20	2.7		
Lanzarote	2015	Distribución de la renta P80/P20	3		
Arrecife	2023	Índice de Gini	28.7		
Arrecife	2022	Índice de Gini	29.5		
Arrecife	2021	Índice de Gini	31.5		
Arrecife	2020	Índice de Gini	31.9		
