fecha,sexo,edad,Codigo Territorio,Municipio,isla,Mercado local de trabajo,Nivel formativo,CNAE09,Actividad económica,CNO11,Ocupaciones,Tipo Contrato,Duración Contrato,Nacionalidad,Contratos
202603,Hombres,45 o más,35001,Agaete,GRAN CANARIA,Gran Canaria Noroeste,Educación primaria,42,Ingeniería civil,3202,Supervisores de la construcción,Conversión a Indefinido,Duración indeterminada/Sin información de la duración,Nacional,1
202603,Hombres,45 o más,35001,Agaete,GRAN CANARIA,Gran Canaria Noroeste,Educación primaria,42,Ingeniería civil,8332,"Operadores de grúas, montacargas y de maquinaria similar de movimiento de materiales",Indefinido,Duración indeterminada/Sin información de la duración,Nacional,1
202603,Hombres,45 o más,35001,Agaete,GRAN CANARIA,Gran Canaria Noroeste,Educación secundaria,56,Servicios de comidas y bebidas,5110,Cocineros asalariados,Indefinido,Duración indeterminada/Sin información de la duración,Extranjeros no Comunitarios,1
202603,Hombres,45 o más,35001,Agaete,GRAN CANARIA,Gran Canaria Noroeste,Educación secundaria,56,Servicios de comidas y bebidas,5120,Camareros asalariados,Temporal Tiempo Completo,Menos de 6 meses,Nacional,1
202603,Hombres,45 o más,35001,Agaete,GRAN CANARIA,Gran Canaria Noroeste,Educación secundaria,56,Servicios de comidas y bebidas,5120,Camareros asalariados,Temporal Tiempo Parcial,Duración indeterminada/Sin información de la duración,Nacional,1
202603,Hombres,45 o más,35001,Agaete,GRAN CANARIA,Gran Canaria Noroeste,Educación secundaria,85,Educación,9310,Ayudantes de cocina,Indefinido,Duración indeterminada/Sin información de la duración,Nacional,1
202603,Hombres,45 o más,35001,Agaete,GRAN CANARIA,Gran Canaria Noroeste,Estudios Universitarios,50,Transporte marítimo y por vías navegables interiores,9811,Peones del transporte de mercancías y descargadores,Temporal Tiempo Completo,Menos de 6 meses,Nacional,1
202603,Hombres,45 o más,35001,Agaete,GRAN CANARIA,Gran Canaria Noroeste,Estudios Universitarios,72,Investigación y desarrollo,3121,Técnicos en ciencias físicas y químicas,Indefinido,Duración indeterminada/Sin información de la duración,Nacional,2
202603,Hombres,45 o más,35001,Agaete,GRAN CANARIA,Gran Canaria Noroeste,Formación Profesional,55,Servicios de alojamiento,5120,Camareros asalariados,Indefinido,Duración indeterminada/Sin información de la duración,Nacional,1
202603,Hombres,45 o más,35002,Agüimes,GRAN CANARIA,Gran Canaria Sur,Analfabetos,10,Industria alimentaria,3160,"Técnicos de control de calidad de las ciencias físicas, químicas y de las ingenierías",Temporal Tiempo Completo,Menos de 6 meses,Extranjeros no Comunitarios,1
202603,Hombres,45 o más,35002,Agüimes,GRAN CANARIA,Gran Canaria Sur,Analfabetos,10,Industria alimentaria,8160,"Operadores de máquinas para elaborar productos alimenticios, bebidas y tabaco",Temporal Tiempo Completo,Menos de 6 meses,Nacional,1
202603,Hombres,45 o más,35002,Agüimes,GRAN CANARIA,Gran Canaria Sur,Analfabetos,52,"Depósito, almacenamiento y actividades auxiliares del transporte",9811,Peones del transporte de mercancías y descargadores,Indefinido,Duración indeterminada/Sin información de la duración,Nacional,1
202603,Hombres,45 o más,35002,Agüimes,GRAN CANARIA,Gran Canaria Sur,Analfabetos,81,Servicios a edificios y actividades de jardinería,9512,"Peones agrícolas en huertas, invernaderos, viveros y jardines",Indefinido,Duración indeterminada/Sin información de la duración,Nacional,10
202603,Hombres,45 o más,35002,Agüimes,GRAN CANARIA,Gran Canaria Sur,Analfabetos,84,Administración pública y defensa; seguridad social obligatoria,9512,"Peones agrícolas en huertas, invernaderos, viveros y jardines",Temporal Tiempo Parcial,De 6 a 12 meses,Nacional,1
202603,Hombres,45 o más,35002,Agüimes,GRAN CANARIA,Gran Canaria Sur,Analfabetos,91,"Actividades de bibliotecas, archivos, museos y otras actividades culturales",3132,"Técnicos en instalaciones de tratamiento de residuos, de aguas y otros operadores en plantas similares",Indefinido,Duración indeterminada/Sin información de la duración,Nacional,1
202603,Hombres,45 o más,35002,Agüimes,GRAN CANARIA,Gran Canaria Sur,Educación primaria,1,"Agricultura, ganadería, caza y servicios relacionados con las mismas",9512,"Peones agrícolas en huertas, invernaderos, viveros y jardines",Indefinido,Duración indeterminada/Sin información de la duración,Extranjeros Comunitarios,1
202603,Hombres,45 o más,35002,Agüimes,GRAN CANARIA,Gran Canaria Sur,Educación primaria,1,"Agricultura, ganadería, caza y servicios relacionados con las mismas",9512,"Peones agrícolas en huertas, invernaderos, viveros y jardines",Indefinido,Duración indeterminada/Sin información de la duración,Nacional,1
202603,Hombres,45 o más,35002,Agüimes,GRAN CANARIA,Gran Canaria Sur,Educación primaria,1,"Agricultura, ganadería, caza y servicios relacionados con las mismas",9512,"Peones agrícolas en huertas, invernaderos, viveros y jardines",Temporal Tiempo Completo,Duración indeterminada/Sin información de la duración,Nacional,1
202603,Hombres,45 o más,35002,Agüimes,GRAN CANARIA,Gran Canaria Sur,Educación primaria,1,"Agricultura, ganadería, caza y servicios relacionados con las mismas",9512,"Peones agrícolas en huertas, invernaderos, viveros y jardines",Temporal Tiempo Completo,Menos de 6 meses,Extranjeros no Comunitarios,1
