año,distrito,MEDIDAS_CODE,MEDIDAS#es,municipio,OBS_VALUE,seccion,TERRITORIO_CODE
2021,1,OTRAS_PRESTACIONES,Otras prestaciones, Adeje,1.9,11,20220101_38001_D01_S011
2021,1,OTRAS_PRESTACIONES,Otras prestaciones, Adeje,1.9,18,20220101_38001_D01_S018
2021,1,OTRAS_PRESTACIONES,Otras prestaciones, Adeje,2.4,8,20220101_38001_D01_S008
2021,1,OTRAS_PRESTACIONES,Otras prestaciones, Adeje,2.4,9,20220101_38001_D01_S009
2021,1,OTRAS_PRESTACIONES,Otras prestaciones, Adeje,2.5,7,20220101_38001_D01_S007
2021,1,OTRAS_PRESTACIONES,Otras prestaciones, Adeje,2.7,13,20220101_38001_D01_S013
2021,1,OTRAS_PRESTACIONES,Otras prestaciones, Adeje,3.0,3,20220101_38001_D01_S003
2021,1,OTRAS_PRESTACIONES,Otras prestaciones, Adeje,3.2,17,20220101_38001_D01_S017
2021,1,OTRAS_PRESTACIONES,Otras prestaciones, Adeje,3.3,5,20220101_38001_D01_S005
2021,1,OTRAS_PRESTACIONES,Otras prestaciones, Adeje,3.3,10,20220101_38001_D01_S010
2021,1,OTRAS_PRESTACIONES,Otras prestaciones, Adeje,3.4,12,20220101_38001_D01_S012
2021,1,OTRAS_PRESTACIONES,Otras prestaciones, Adeje,3.5,1,20220101_38001_D01_S001
2021,1,OTRAS_PRESTACIONES,Otras prestaciones, Adeje,3.8,14,20220101_38001_D01_S014
2021,1,OTRAS_PRESTACIONES,Otras prestaciones, Adeje,3.8,15,20220101_38001_D01_S015
2021,1,OTRAS_PRESTACIONES,Otras prestaciones, Adeje,3.9,16,20220101_38001_D01_S016
2021,1,OTRAS_PRESTACIONES,Otras prestaciones, Adeje,4.1,6,20220101_38001_D01_S006
2021,1,OTRAS_PRESTACIONES,Otras prestaciones, Adeje,4.6,2,20220101_38001_D01_S002
2021,1,OTRAS_PRESTACIONES,Otras prestaciones, Adeje,4.8,4,20220101_38001_D01_S004
2021,1,OTRAS_PRESTACIONES,Otras prestaciones, Agaete,5.7,2,20220101_35001_D01_S002
2021,1,OTRAS_PRESTACIONES,Otras prestaciones, Agaete,5.7,5,20220101_35001_D01_S005
2021,1,OTRAS_PRESTACIONES,Otras prestaciones, Agaete,5.8,1,20220101_35001_D01_S001
2021,1,OTRAS_PRESTACIONES,Otras prestaciones, Agaete,6.9,3,20220101_35001_D01_S003
