TERRITORIO,TIME_PERIOD,MEDIDAS,OBS_VALUE,tipo_territorio
El Tanque,2020,Distribución de la renta P80/P20,2.0,municipio
Buenavista del Norte,2020,Distribución de la renta P80/P20,2.0,municipio
Tuineje,2023,Distribución de la renta P80/P20,2.1,municipio
Tuineje,2018,Distribución de la renta P80/P20,2.1,municipio
La Aldea de San Nicolás,2019,Distribución de la renta P80/P20,2.1,municipio
Los Silos,2016,Distribución de la renta P80/P20,2.1,municipio
Tinajo,2023,Distribución de la renta P80/P20,2.1,municipio
El Tanque,2022,Distribución de la renta P80/P20,2.1,municipio
Tinajo,2019,Distribución de la renta P80/P20,2.1,municipio
Tinajo,2022,Distribución de la renta P80/P20,2.1,municipio
Buenavista del Norte,2023,Distribución de la renta P80/P20,2.1,municipio
La Guancha,2021,Distribución de la renta P80/P20,2.1,municipio
El Tanque,2023,Distribución de la renta P80/P20,2.1,municipio
Alajeró,2023,Distribución de la renta P80/P20,2.2,municipio
Alajeró,2021,Distribución de la renta P80/P20,2.2,municipio
Los Realejos,2019,Distribución de la renta P80/P20,2.2,municipio
Tinajo,2018,Distribución de la renta P80/P20,2.2,municipio
Tazacorte,2022,Distribución de la renta P80/P20,2.2,municipio
La Guancha,2020,Distribución de la renta P80/P20,2.2,municipio
La Guancha,2022,Distribución de la renta P80/P20,2.2,municipio
La Guancha,2023,Distribución de la renta P80/P20,2.2,municipio
Los Silos,2017,Distribución de la renta P80/P20,2.2,municipio
Tinajo,2021,Distribución de la renta P80/P20,2.2,municipio
San Juan de la Rambla,2023,Distribución de la renta P80/P20,2.2,municipio
Garachico,2023,Distribución de la renta P80/P20,2.2,municipio
La Guancha,2019,Distribución de la renta P80/P20,2.2,municipio
El Tanque,2018,Distribución de la renta P80/P20,2.2,municipio
El Tanque,2021,Distribución de la renta P80/P20,2.2,municipio
Tuineje,2019,Distribución de la renta P80/P20,2.2,municipio
Los Silos,2022,Distribución de la renta P80/P20,2.2,municipio
Alajeró,2022,Distribución de la renta P80/P20,2.2,municipio
El Tanque,2015,Distribución de la renta P80/P20,2.2,municipio
Tinajo,2020,Distribución de la renta P80/P20,2.2,municipio
La Aldea de San Nicolás,2018,Distribución de la renta P80/P20,2.2,municipio
Los Silos,2018,Distribución de la renta P80/P20,2.2,municipio
Garachico,2019,Distribución de la renta P80/P20,2.2,municipio
Los Realejos,2023,Distribución de la renta P80/P20,2.2,municipio
Vallehermoso,2015,Distribución de la renta P80/P20,2.2,municipio
Guía de Isora,2023,Distribución de la renta P80/P20,2.2,municipio
Ingenio,2022,Distribución de la renta P80/P20,2.2,municipio
Vallehermoso,2016,Distribución de la renta P80/P20,2.2,municipio
La Aldea de San Nicolás,2023,Distribución de la renta P80/P20,2.2,municipio
Ingenio,2023,Distribución de la renta P80/P20,2.2,municipio
La Aldea de San Nicolás,2020,Distribución de la renta P80/P20,2.2,municipio
Buenavista del Norte,2022,Distribución de la renta P80/P20,2.2,municipio
Buenavista del Norte,2021,Distribución de la renta P80/P20,2.2,municipio
Artenara,2023,Distribución de la renta P80/P20,2.2,municipio
Tuineje,2017,Distribución de la renta P80/P20,2.2,municipio
Valleseco,2020,Distribución de la renta P80/P20,2.3,municipio
Los Silos,2023,Distribución de la renta P80/P20,2.3,municipio
Valleseco,2023,Distribución de la renta P80/P20,2.3,municipio
La Guancha,2018,Distribución de la renta P80/P20,2.3,municipio
Los Realejos,2021,Distribución de la renta P80/P20,2.3,municipio
Los Realejos,2018,Distribución de la renta P80/P20,2.3,municipio
La Guancha,2017,Distribución de la renta P80/P20,2.3,municipio
Hermigua,2019,Distribución de la renta P80/P20,2.3,municipio
La Guancha,2016,Distribución de la renta P80/P20,2.3,municipio
Santa Lucía de Tirajana,2023,Distribución de la renta P80/P20,2.3,municipio
Tinajo,2016,Distribución de la renta P80/P20,2.3,municipio
Tinajo,2017,Distribución de la renta P80/P20,2.3,municipio
La Victoria de Acentejo,2023,Distribución de la renta P80/P20,2.3,municipio
Los Realejos,2017,Distribución de la renta P80/P20,2.3,municipio
Tuineje,2022,Distribución de la renta P80/P20,2.3,municipio
San Bartolomé,2023,Distribución de la renta P80/P20,2.3,municipio
Firgas,2023,Distribución de la renta P80/P20,2.3,municipio
Guía de Isora,2020,Distribución de la renta P80/P20,2.3,municipio
Yaiza,2023,Distribución de la renta P80/P20,2.3,municipio
Guía de Isora,2022,Distribución de la renta P80/P20,2.3,municipio
Pájara,2023,Distribución de la renta P80/P20,2.3,municipio
Guía de Isora,2018,Distribución de la renta P80/P20,2.3,municipio
Pájara,2019,Distribución de la renta P80/P20,2.3,municipio
La Aldea de San Nicolás,2017,Distribución de la renta P80/P20,2.3,municipio
Gáldar,2019,Distribución de la renta P80/P20,2.3,municipio
Gáldar,2020,Distribución de la renta P80/P20,2.3,municipio
Garachico,2022,Distribución de la renta P80/P20,2.3,municipio
Garachico,2021,Distribución de la renta P80/P20,2.3,municipio
Gáldar,2023,Distribución de la renta P80/P20,2.3,municipio
Icod de los Vinos,2023,Distribución de la renta P80/P20,2.3,municipio
Ingenio,2021,Distribución de la renta P80/P20,2.3,municipio
Vallehermoso,2020,Distribución de la renta P80/P20,2.3,municipio
La Aldea de San Nicolás,2021,Distribución de la renta P80/P20,2.3,municipio
Ingenio,2019,Distribución de la renta P80/P20,2.3,municipio
La Aldea de San Nicolás,2022,Distribución de la renta P80/P20,2.3,municipio
Tuineje,2016,Distribución de la renta P80/P20,2.3,municipio
San Juan de la Rambla,2022,Distribución de la renta P80/P20,2.3,municipio
La Matanza de Acentejo,2023,Distribución de la renta P80/P20,2.3,municipio
Tuineje,2020,Distribución de la renta P80/P20,2.3,municipio
Tuineje,2021,Distribución de la renta P80/P20,2.3,municipio
Alajeró,2017,Distribución de la renta P80/P20,2.3,municipio
Alajeró,2020,Distribución de la renta P80/P20,2.3,municipio
Agulo,2015,Distribución de la renta P80/P20,2.3,municipio
Alajeró,2019,Distribución de la renta P80/P20,2.3,municipio
Tuineje,2015,Distribución de la renta P80/P20,2.3,municipio
Los Silos,2020,Distribución de la renta P80/P20,2.3,municipio
La Orotava,2023,Distribución de la renta P80/P20,2.3,municipio
Los Silos,2019,Distribución de la renta P80/P20,2.3,municipio
Buenavista del Norte,2019,Distribución de la renta P80/P20,2.3,municipio
Buenavista del Norte,2017,Distribución de la renta P80/P20,2.3,municipio
Agulo,2022,Distribución de la renta P80/P20,2.3,municipio
Los Realejos,2022,Distribución de la renta P80/P20,2.3,municipio
Agüimes,2022,Distribución de la renta P80/P20,2.3,municipio
Agüimes,2023,Distribución de la renta P80/P20,2.3,municipio
Garachico,2018,Distribución de la renta P80/P20,2.3,municipio
Icod de los Vinos,2021,Distribución de la renta P80/P20,2.4,municipio
Hermigua,2018,Distribución de la renta P80/P20,2.4,municipio
Hermigua,2017,Distribución de la renta P80/P20,2.4,municipio
Teguise,2023,Distribución de la renta P80/P20,2.4,municipio
Tazacorte,2019,Distribución de la renta P80/P20,2.4,municipio
Los Realejos,2020,Distribución de la renta P80/P20,2.4,municipio
San Sebastián de La Gomera,2023,Distribución de la renta P80/P20,2.4,municipio
Teror,2023,Distribución de la renta P80/P20,2.4,municipio
San Bartolomé,2022,Distribución de la renta P80/P20,2.4,municipio
Alajeró,2015,Distribución de la renta P80/P20,2.4,municipio
San Juan de la Rambla,2019,Distribución de la renta P80/P20,2.4,municipio
Agaete,2023,Distribución de la renta P80/P20,2.4,municipio
Agaete,2022,Distribución de la renta P80/P20,2.4,municipio
Valleseco,2022,Distribución de la renta P80/P20,2.4,municipio
Alajeró,2018,Distribución de la renta P80/P20,2.4,municipio
Agulo,2016,Distribución de la renta P80/P20,2.4,municipio
Vega de San Mateo,2023,Distribución de la renta P80/P20,2.4,municipio
Garachico,2020,Distribución de la renta P80/P20,2.4,municipio
El Tanque,2019,Distribución de la renta P80/P20,2.4,municipio
La Orotava,2021,Distribución de la renta P80/P20,2.4,municipio
Valsequillo de Gran Canaria,2019,Distribución de la renta P80/P20,2.4,municipio
El Tanque,2017,Distribución de la renta P80/P20,2.4,municipio
Artenara,2022,Distribución de la renta P80/P20,2.4,municipio
Valleseco,2019,Distribución de la renta P80/P20,2.4,municipio
Valsequillo de Gran Canaria,2023,Distribución de la renta P80/P20,2.4,municipio
La Aldea de San Nicolás,2015,Distribución de la renta P80/P20,2.4,municipio
Firgas,2022,Distribución de la renta P80/P20,2.4,municipio
Fuencaliente de La Palma,2021,Distribución de la renta P80/P20,2.4,municipio
Guía de Isora,2017,Distribución de la renta P80/P20,2.4,municipio
Guía de Isora,2021,Distribución de la renta P80/P20,2.4,municipio
La Victoria de Acentejo,2021,Distribución de la renta P80/P20,2.4,municipio
Guía de Isora,2019,Distribución de la renta P80/P20,2.4,municipio
La Victoria de Acentejo,2022,Distribución de la renta P80/P20,2.4,municipio
Los Silos,2015,Distribución de la renta P80/P20,2.4,municipio
Pájara,2015,Distribución de la renta P80/P20,2.4,municipio
Pájara,2020,Distribución de la renta P80/P20,2.4,municipio
Pájara,2017,Distribución de la renta P80/P20,2.4,municipio
Pájara,2018,Distribución de la renta P80/P20,2.4,municipio
Tazacorte,2021,Distribución de la renta P80/P20,2.4,municipio
Icod de los Vinos,2022,Distribución de la renta P80/P20,2.4,municipio
Artenara,2019,Distribución de la renta P80/P20,2.4,municipio
Gáldar,2021,Distribución de la renta P80/P20,2.4,municipio
Firgas,2019,Distribución de la renta P80/P20,2.4,municipio
Vilaflor de Chasna,2018,Distribución de la renta P80/P20,2.4,municipio
Vilaflor de Chasna,2021,Distribución de la renta P80/P20,2.4,municipio
Santa María de Guía de Gran Canaria,2019,Distribución de la renta P80/P20,2.4,municipio
Santa María de Guía de Gran Canaria,2018,Distribución de la renta P80/P20,2.4,municipio
Santa María de Guía de Gran Canaria,2020,Distribución de la renta P80/P20,2.4,municipio
La Matanza de Acentejo,2021,Distribución de la renta P80/P20,2.4,municipio
Artenara,2020,Distribución de la renta P80/P20,2.4,municipio
Gáldar,2018,Distribución de la renta P80/P20,2.4,municipio
Buenavista del Norte,2018,Distribución de la renta P80/P20,2.4,municipio
Vallehermoso,2017,Distribución de la renta P80/P20,2.4,municipio
Tegueste,2022,Distribución de la renta P80/P20,2.4,municipio
Buenavista del Norte,2015,Distribución de la renta P80/P20,2.4,municipio
Ingenio,2020,Distribución de la renta P80/P20,2.4,municipio
Ingenio,2018,Distribución de la renta P80/P20,2.4,municipio
Agulo,2023,Distribución de la renta P80/P20,2.4,municipio
Lanzarote,2023,Distribución de la renta P80/P20,2.4,isla
Los Silos,2021,Distribución de la renta P80/P20,2.4,municipio
Betancuria,2019,Distribución de la renta P80/P20,2.4,municipio
Vallehermoso,2021,Distribución de la renta P80/P20,2.4,municipio
Betancuria,2022,Distribución de la renta P80/P20,2.4,municipio
Ingenio,2016,Distribución de la renta P80/P20,2.4,municipio
