año,MEDIDAS_CODE,MEDIDAS#es,TERRITORIO_CODE,distrito,seccion,municipio,OBS_VALUE
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38001_D01_S001,1,1, Adeje,31387.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38001_D01_S002,1,2, Adeje,28541.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38001_D01_S003,1,3, Adeje,33268.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38001_D01_S004,1,4, Adeje,27259.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38001_D01_S005,1,5, Adeje,34744.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38001_D01_S006,1,6, Adeje,30198.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38001_D01_S007,1,7, Adeje,20584.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38001_D01_S008,1,8, Adeje,25436.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38001_D01_S009,1,9, Adeje,44746.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38001_D01_S010,1,10, Adeje,48813.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38001_D01_S011,1,11, Adeje,20844.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38001_D01_S012,1,12, Adeje,34886.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38001_D01_S013,1,13, Adeje,33821.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38001_D01_S014,1,14, Adeje,29224.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38001_D01_S015,1,15, Adeje,28141.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38001_D01_S016,1,16, Adeje,32779.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38001_D01_S017,1,17, Adeje,23792.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38001_D01_S018,1,18, Adeje,31913.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38002_D01_S001,1,1, Agulo,29977.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38003_D01_S001,1,1, Alajeró,30406.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38004_D01_S001,1,1, Arafo,36419.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38004_D01_S002,1,2, Arafo,35062.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38004_D01_S003,1,3, Arafo,39797.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38005_D01_S001,1,1, Arico,26088.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38005_D01_S002,1,2, Arico,28734.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38005_D01_S003,1,3, Arico,29046.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38005_D01_S004,1,4, Arico,29258.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38005_D01_S005,1,5, Arico,25533.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38005_D01_S006,1,6, Arico,30000.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38006_D01_S001,1,1, Arona,34966.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38006_D01_S002,1,2, Arona,36386.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38006_D01_S003,1,3, Arona,31388.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38006_D01_S004,1,4, Arona,28767.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38006_D01_S005,1,5, Arona,25903.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38006_D01_S006,1,6, Arona,26363.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38006_D01_S007,1,7, Arona,21646.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38006_D01_S008,1,8, Arona,26142.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38006_D01_S009,1,9, Arona,27720.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38006_D01_S010,1,10, Arona,30277.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38006_D01_S011,1,11, Arona,27479.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38006_D01_S012,1,12, Arona,26325.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38006_D01_S013,1,13, Arona,22568.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38006_D01_S014,1,14, Arona,26902.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38006_D01_S015,1,15, Arona,30983.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38006_D01_S016,1,16, Arona,19673.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38006_D01_S017,1,17, Arona,27037.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38006_D01_S018,1,18, Arona,23489.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38006_D01_S019,1,19, Arona,26814.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38006_D01_S020,1,20, Arona,26004.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38006_D01_S021,1,21, Arona,24681.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38006_D01_S022,1,22, Arona,30127.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38006_D01_S023,1,23, Arona,23980.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38006_D01_S024,1,24, Arona,29058.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38006_D01_S025,1,25, Arona,31162.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38006_D01_S026,1,26, Arona,28944.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38006_D01_S027,1,27, Arona,27206.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38006_D01_S028,1,28, Arona,32548.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38006_D01_S029,1,29, Arona,21224.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38006_D01_S030,1,30, Arona,24645.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38006_D01_S031,1,31, Arona,22191.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38006_D01_S032,1,32, Arona,21342.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38006_D01_S033,1,33, Arona,29435.0
