TERRITORIO,TIME_PERIOD,MEDIDAS,OBS_VALUE,tipo_territorio
Santa Brígida,2018,Prestaciones por desempleo,1.3,municipio
Santa Brígida,2023,Prestaciones por desempleo,1.3,municipio
Santa Brígida,2022,Prestaciones por desempleo,1.4,municipio
Santa Brígida,2019,Prestaciones por desempleo,1.4,municipio
Santa Brígida,2017,Prestaciones por desempleo,1.5,municipio
El Rosario,2023,Prestaciones por desempleo,1.5,municipio
Teguise,2023,Prestaciones por desempleo,1.6,municipio
Adeje,2016,Otras prestaciones,1.6,municipio
Adeje,2015,Otras prestaciones,1.7,municipio
El Rosario,2022,Prestaciones por desempleo,1.7,municipio
Betancuria,2022,Prestaciones por desempleo,1.7,municipio
Santa Brígida,2016,Prestaciones por desempleo,1.7,municipio
Tías,2023,Prestaciones por desempleo,1.7,municipio
Tías,2016,Otras prestaciones,1.8,municipio
Pájara,2015,Otras prestaciones,1.8,municipio
Candelaria,2023,Prestaciones por desempleo,1.8,municipio
El Rosario,2019,Prestaciones por desempleo,1.8,municipio
El Rosario,2018,Prestaciones por desempleo,1.8,municipio
Teguise,2022,Prestaciones por desempleo,1.8,municipio
El Rosario,2017,Prestaciones por desempleo,1.8,municipio
Tegueste,2023,Prestaciones por desempleo,1.8,municipio
Adeje,2017,Otras prestaciones,1.8,municipio
Yaiza,2023,Prestaciones por desempleo,1.8,municipio
Pájara,2016,Otras prestaciones,1.8,municipio
Tinajo,2023,Prestaciones por desempleo,1.8,municipio
Vilaflor de Chasna,2015,Otras prestaciones,1.9,municipio
Tegueste,2022,Prestaciones por desempleo,1.9,municipio
Santa Brígida,2015,Prestaciones por desempleo,1.9,municipio
San Sebastián de La Gomera,2023,Prestaciones por desempleo,1.9,municipio
Betancuria,2023,Prestaciones por desempleo,1.9,municipio
Vilaflor de Chasna,2016,Otras prestaciones,1.9,municipio
Santa Cruz de Tenerife,2023,Prestaciones por desempleo,1.9,municipio
San Bartolomé,2023,Prestaciones por desempleo,1.9,municipio
Breña Baja,2022,Prestaciones por desempleo,1.9,municipio
Las Palmas de Gran Canaria,2023,Prestaciones por desempleo,1.9,municipio
Alajeró,2023,Prestaciones por desempleo,1.9,municipio
San Miguel de Abona,2016,Otras prestaciones,1.9,municipio
La Oliva,2015,Otras prestaciones,2.0,municipio
San Andrés y Sauces,2023,Prestaciones por desempleo,2.0,municipio
Teguise,2018,Prestaciones por desempleo,2.0,municipio
Santa Cruz de Tenerife,2022,Prestaciones por desempleo,2.0,municipio
Puerto de la Cruz,2023,Prestaciones por desempleo,2.0,municipio
Candelaria,2022,Prestaciones por desempleo,2.0,municipio
Tías,2015,Otras prestaciones,2.0,municipio
Tías,2017,Otras prestaciones,2.0,municipio
Lanzarote,2023,Prestaciones por desempleo,2.0,isla
El Sauzal,2023,Prestaciones por desempleo,2.0,municipio
San Miguel de Abona,2015,Otras prestaciones,2.0,municipio
Breña Baja,2023,Prestaciones por desempleo,2.0,municipio
Tegueste,2018,Prestaciones por desempleo,2.0,municipio
Haría,2023,Prestaciones por desempleo,2.0,municipio
Breña Alta,2015,Otras prestaciones,2.0,municipio
Yaiza,2015,Otras prestaciones,2.0,municipio
San Andrés y Sauces,2022,Prestaciones por desempleo,2.1,municipio
Pájara,2017,Otras prestaciones,2.1,municipio
San Miguel de Abona,2017,Otras prestaciones,2.1,municipio
Arona,2016,Otras prestaciones,2.1,municipio
San Sebastián de La Gomera,2022,Prestaciones por desempleo,2.1,municipio
Yaiza,2016,Otras prestaciones,2.1,municipio
Santa Cruz de La Palma,2022,Prestaciones por desempleo,2.1,municipio
La Oliva,2016,Otras prestaciones,2.1,municipio
Teguise,2019,Prestaciones por desempleo,2.1,municipio
Tegueste,2019,Prestaciones por desempleo,2.1,municipio
Teguise,2015,Otras prestaciones,2.1,municipio
Alajeró,2022,Prestaciones por desempleo,2.1,municipio
Valverde,2023,Prestaciones por desempleo,2.1,municipio
Tacoronte,2023,Prestaciones por desempleo,2.1,municipio
