TERRITORIO	TIME_PERIOD	MEDIDAS	OBS_VALUE	ESTADO_OBSERVACION	CONFIDENCIALIDAD_OBSERVACION
Canarias	2023	Sueldos y salarios	61.4		
Canarias	2022	Sueldos y salarios	61.2		
Canarias	2021	Sueldos y salarios	58.3		
Canarias	2020	Sueldos y salarios	56.6		
Canarias	2019	Sueldos y salarios	62.5		
Canarias	2018	Sueldos y salarios	62.7		
Canarias	2017	Sueldos y salarios	62.7		
Canarias	2016	Sueldos y salarios	62.7		
Canarias	2015	Sueldos y salarios	62.2		
Canarias	2023	Pensiones	17.8		
Canarias	2022	Pensiones	18.1		
Canarias	2021	Pensiones	18.4		
Canarias	2020	Pensiones	19		
Canarias	2019	Pensiones	17.6		
Canarias	2018	Pensiones	17.5		
Canarias	2017	Pensiones	17.8		
Canarias	2016	Pensiones	18.2		
Canarias	2015	Pensiones	18.5		
Canarias	2023	Prestaciones por desempleo	2.3		
Canarias	2022	Prestaciones por desempleo	2.6		
Canarias	2021	Prestaciones por desempleo	5.8		
Canarias	2020	Prestaciones por desempleo	8.7		
Canarias	2019	Prestaciones por desempleo	2.9		
Canarias	2018	Prestaciones por desempleo	2.9		
Canarias	2017	Prestaciones por desempleo	3.1		
Canarias	2016	Prestaciones por desempleo	3.4		
Canarias	2015	Prestaciones por desempleo	3.8		
Canarias	2023	Otras prestaciones	4.5		
Canarias	2022	Otras prestaciones	4.5		
Canarias	2021	Otras prestaciones	4.6		
Canarias	2020	Otras prestaciones	4.3		
Canarias	2019	Otras prestaciones	3.7		
Canarias	2018	Otras prestaciones	3.6		
Canarias	2017	Otras prestaciones	3.6		
Canarias	2016	Otras prestaciones	3.3		
Canarias	2015	Otras prestaciones	3.3		
Canarias	2023	Otros ingresos	14		
Canarias	2022	Otros ingresos	13.7		
Canarias	2021	Otros ingresos	12.9		
Canarias	2020	Otros ingresos	11.4		
Canarias	2019	Otros ingresos	13.3		
Canarias	2018	Otros ingresos	13.3		
Canarias	2017	Otros ingresos	12.9		
Canarias	2016	Otros ingresos	12.5		
Canarias	2015	Otros ingresos	12.3		
Las Palmas	2023	Sueldos y salarios	61.8		
Las Palmas	2022	Sueldos y salarios	61.8		
Las Palmas	2021	Sueldos y salarios	58.8		
Las Palmas	2020	Sueldos y salarios	56.9		
Las Palmas	2019	Sueldos y salarios	63.1		
Las Palmas	2018	Sueldos y salarios	63.5		
Las Palmas	2017	Sueldos y salarios	63.4		
Las Palmas	2016	Sueldos y salarios	63.5		
Las Palmas	2015	Sueldos y salarios	62.8		
Las Palmas	2023	Pensiones	17		
Las Palmas	2022	Pensiones	17.1		
Las Palmas	2021	Pensiones	17.4		
Las Palmas	2020	Pensiones	18.1		
Las Palmas	2019	Pensiones	16.6		
Las Palmas	2018	Pensiones	16.5		
Las Palmas	2017	Pensiones	16.7		
Las Palmas	2016	Pensiones	17		
Las Palmas	2015	Pensiones	17.3		
Las Palmas	2023	Prestaciones por desempleo	2.3		
Las Palmas	2022	Prestaciones por desempleo	2.5		
Las Palmas	2021	Prestaciones por desempleo	6		
Las Palmas	2020	Prestaciones por desempleo	8.9		
Las Palmas	2019	Prestaciones por desempleo	2.9		
Las Palmas	2018	Prestaciones por desempleo	2.9		
Las Palmas	2017	Prestaciones por desempleo	3		
Las Palmas	2016	Prestaciones por desempleo	3.3		
Las Palmas	2015	Prestaciones por desempleo	3.8		
Las Palmas	2023	Otras prestaciones	5		
Las Palmas	2022	Otras prestaciones	4.9		
Las Palmas	2021	Otras prestaciones	5		
Las Palmas	2020	Otras prestaciones	4.7		
Las Palmas	2019	Otras prestaciones	4.1		
Las Palmas	2018	Otras prestaciones	3.9		
Las Palmas	2017	Otras prestaciones	3.9		
Las Palmas	2016	Otras prestaciones	3.7		
Las Palmas	2015	Otras prestaciones	3.6		
Las Palmas	2023	Otros ingresos	14		
Las Palmas	2022	Otros ingresos	13.7		
Las Palmas	2021	Otros ingresos	12.9		
Las Palmas	2020	Otros ingresos	11.4		
Las Palmas	2019	Otros ingresos	13.4		
Las Palmas	2018	Otros ingresos	13.3		
Las Palmas	2017	Otros ingresos	13		
Las Palmas	2016	Otros ingresos	12.6		
Las Palmas	2015	Otros ingresos	12.5		
Lanzarote	2023	Sueldos y salarios	65.5		
Lanzarote	2022	Sueldos y salarios	65.4		
Lanzarote	2021	Sueldos y salarios	58.5		
Lanzarote	2020	Sueldos y salarios	57.1		
Lanzarote	2019	Sueldos y salarios	67.4		
Lanzarote	2018	Sueldos y salarios	67.6		
Lanzarote	2017	Sueldos y salarios	68.1		
Lanzarote	2016	Sueldos y salarios	68		
Lanzarote	2015	Sueldos y salarios	67.2		
Lanzarote	2023	Pensiones	12.8		
Lanzarote	2022	Pensiones	13.1		
Lanzarote	2021	Pensiones	13.6		
Lanzarote	2020	Pensiones	13.8		
Lanzarote	2019	Pensiones	12.1		
Lanzarote	2018	Pensiones	11.9		
Lanzarote	2017	Pensiones	12.3		
Lanzarote	2016	Pensiones	12.7		
Lanzarote	2015	Pensiones	13		
Lanzarote	2023	Prestaciones por desempleo	2		
Lanzarote	2022	Prestaciones por desempleo	2.4		
Lanzarote	2021	Prestaciones por desempleo	9.7		
Lanzarote	2020	Prestaciones por desempleo	13.7		
Lanzarote	2019	Prestaciones por desempleo	3.1		
Lanzarote	2018	Prestaciones por desempleo	3.1		
Lanzarote	2017	Prestaciones por desempleo	3.2		
Lanzarote	2016	Prestaciones por desempleo	3.6		
Lanzarote	2015	Prestaciones por desempleo	4.1		
Lanzarote	2023	Otras prestaciones	3.4		
Lanzarote	2022	Otras prestaciones	3.5		
Lanzarote	2021	Otras prestaciones	3.6		
Lanzarote	2020	Otras prestaciones	3.4		
Lanzarote	2019	Otras prestaciones	2.8		
Lanzarote	2018	Otras prestaciones	2.7		
Lanzarote	2017	Otras prestaciones	2.5		
Lanzarote	2016	Otras prestaciones	2.4		
Lanzarote	2015	Otras prestaciones	2.3		
Lanzarote	2023	Otros ingresos	16.2		
Lanzarote	2022	Otros ingresos	15.6		
Lanzarote	2021	Otros ingresos	14.6		
Lanzarote	2020	Otros ingresos	12		
Lanzarote	2019	Otros ingresos	14.6		
Lanzarote	2018	Otros ingresos	14.7		
Lanzarote	2017	Otros ingresos	14		
Lanzarote	2016	Otros ingresos	13.3		
Lanzarote	2015	Otros ingresos	13.4		
Arrecife	2023	Sueldos y salarios	68.3		
Arrecife	2022	Sueldos y salarios	67.8		
Arrecife	2021	Sueldos y salarios	59.3		
Arrecife	2020	Sueldos y salarios	56.9		
Arrecife	2019	Sueldos y salarios	68.7		
Arrecife	2018	Sueldos y salarios	69.1		
Arrecife	2017	Sueldos y salarios	68.9		
Arrecife	2016	Sueldos y salarios	68.4		
Arrecife	2015	Sueldos y salarios	66.9		
Arrecife	2023	Pensiones	13.9		
Arrecife	2022	Pensiones	14.4		
Arrecife	2021	Pensiones	14.9		
Arrecife	2020	Pensiones	15		
Arrecife	2019	Pensiones	13.2		
Arrecife	2018	Pensiones	13.2		
Arrecife	2017	Pensiones	13.7		
Arrecife	2016	Pensiones	14.4		
Arrecife	2015	Pensiones	14.9		
Arrecife	2023	Prestaciones por desempleo	2.6		
Arrecife	2022	Prestaciones por desempleo	3		
Arrecife	2021	Prestaciones por desempleo	10.4		
Arrecife	2020	Prestaciones por desempleo	14.5		
Arrecife	2019	Prestaciones por desempleo	3.9		
Arrecife	2018	Prestaciones por desempleo	3.8		
Arrecife	2017	Prestaciones por desempleo	3.9		
Arrecife	2016	Prestaciones por desempleo	4.5		
Arrecife	2015	Prestaciones por desempleo	5.2		
Arrecife	2023	Otras prestaciones	4.1		
Arrecife	2022	Otras prestaciones	4.2		
Arrecife	2021	Otras prestaciones	4.4		
Arrecife	2020	Otras prestaciones	3.9		
Arrecife	2019	Otras prestaciones	3.2		
Arrecife	2018	Otras prestaciones	3		
Arrecife	2017	Otras prestaciones	2.9		
Arrecife	2016	Otras prestaciones	2.8		
Arrecife	2015	Otras prestaciones	2.7		
Arrecife	2023	Otros ingresos	11.1		
Arrecife	2022	Otros ingresos	10.6		
Arrecife	2021	Otros ingresos	11		
Arrecife	2020	Otros ingresos	9.6		
Arrecife	2019	Otros ingresos	11		
Arrecife	2018	Otros ingresos	10.9		
Arrecife	2017	Otros ingresos	10.7		
Arrecife	2016	Otros ingresos	10		
Arrecife	2015	Otros ingresos	10.4		
Haría	2023	Sueldos y salarios	57.2		
Haría	2022	Sueldos y salarios	56.8		
Haría	2021	Sueldos y salarios	55.5		
Haría	2020	Sueldos y salarios	55.2		
Haría	2019	Sueldos y salarios	59		
Haría	2018	Sueldos y salarios	58.7		
Haría	2017	Sueldos y salarios	58.8		
Haría	2016	Sueldos y salarios	59.5		
Haría	2015	Sueldos y salarios	59.4		
Haría	2023	Pensiones	20.1		
Haría	2022	Pensiones	20.8		
Haría	2021	Pensiones	20.8		
Haría	2020	Pensiones	21		
Haría	2019	Pensiones	20		
Haría	2018	Pensiones	20.7		
Haría	2017	Pensiones	21.6		
Haría	2016	Pensiones	21.5		
Haría	2015	Pensiones	21.9		
Haría	2023	Prestaciones por desempleo	2		
Haría	2022	Prestaciones por desempleo	2.2		
Haría	2021	Prestaciones por desempleo	5.8		
Haría	2020	Prestaciones por desempleo	7.8		
Haría	2019	Prestaciones por desempleo	2.6		
Haría	2018	Prestaciones por desempleo	2.3		
Haría	2017	Prestaciones por desempleo	2.4		
Haría	2016	Prestaciones por desempleo	2.6		
Haría	2015	Prestaciones por desempleo	2.7		
Haría	2023	Otras prestaciones	4		
Haría	2022	Otras prestaciones	4.2		
Haría	2021	Otras prestaciones	3.9		
Haría	2020	Otras prestaciones	3.7		
Haría	2019	Otras prestaciones	3		
Haría	2018	Otras prestaciones	3.1		
Haría	2017	Otras prestaciones	3.1		
Haría	2016	Otras prestaciones	3		
Haría	2015	Otras prestaciones	2.8		
Haría	2023	Otros ingresos	16.7		
Haría	2022	Otros ingresos	16		
Haría	2021	Otros ingresos	13.9		
Haría	2020	Otros ingresos	12.3		
Haría	2019	Otros ingresos	15.4		
Haría	2018	Otros ingresos	15.3		
Haría	2017	Otros ingresos	14.2		
Haría	2016	Otros ingresos	13.4		
Haría	2015	Otros ingresos	13.2		
San Bartolomé	2023	Sueldos y salarios	68.2		
San Bartolomé	2022	Sueldos y salarios	68.2		
San Bartolomé	2021	Sueldos y salarios	62.6		
San Bartolomé	2020	Sueldos y salarios	61.9		
San Bartolomé	2019	Sueldos y salarios	70		
San Bartolomé	2018	Sueldos y salarios	70.9		
San Bartolomé	2017	Sueldos y salarios	71.5		
San Bartolomé	2016	Sueldos y salarios	72.1		
San Bartolomé	2015	Sueldos y salarios	71.3		
San Bartolomé	2023	Pensiones	12.5		
San Bartolomé	2022	Pensiones	12.5		
San Bartolomé	2021	Pensiones	12.6		
San Bartolomé	2020	Pensiones	12.5		
San Bartolomé	2019	Pensiones	11.2		
San Bartolomé	2018	Pensiones	10.8		
San Bartolomé	2017	Pensiones	11.2		
San Bartolomé	2016	Pensiones	11.2		
San Bartolomé	2015	Pensiones	11.5		
San Bartolomé	2023	Prestaciones por desempleo	1.9		
San Bartolomé	2022	Prestaciones por desempleo	2.3		
San Bartolomé	2021	Prestaciones por desempleo	8.1		
San Bartolomé	2020	Prestaciones por desempleo	11.5		
San Bartolomé	2019	Prestaciones por desempleo	2.9		
San Bartolomé	2018	Prestaciones por desempleo	2.8		
San Bartolomé	2017	Prestaciones por desempleo	2.9		
San Bartolomé	2016	Prestaciones por desempleo	3.2		
San Bartolomé	2015	Prestaciones por desempleo	3.6		
San Bartolomé	2023	Otras prestaciones	3		
San Bartolomé	2022	Otras prestaciones	3.3		
San Bartolomé	2021	Otras prestaciones	3.3		
San Bartolomé	2020	Otras prestaciones	3.1		
San Bartolomé	2019	Otras prestaciones	2.7		
San Bartolomé	2018	Otras prestaciones	2.7		
San Bartolomé	2017	Otras prestaciones	2.4		
San Bartolomé	2016	Otras prestaciones	2.2		
San Bartolomé	2015	Otras prestaciones	2.2		
San Bartolomé	2023	Otros ingresos	14.4		
San Bartolomé	2022	Otros ingresos	13.8		
San Bartolomé	2021	Otros ingresos	13.4		
San Bartolomé	2020	Otros ingresos	11		
San Bartolomé	2019	Otros ingresos	13.2		
San Bartolomé	2018	Otros ingresos	12.8		
San Bartolomé	2017	Otros ingresos	12.1		
San Bartolomé	2016	Otros ingresos	11.4		
San Bartolomé	2015	Otros ingresos	11.4		
Teguise	2023	Sueldos y salarios	64.8		
Teguise	2022	Sueldos y salarios	64.9		
Teguise	2021	Sueldos y salarios	62.3		
Teguise	2020	Sueldos y salarios	61.7		
Teguise	2019	Sueldos y salarios	67.8		
Teguise	2018	Sueldos y salarios	67.8		
Teguise	2017	Sueldos y salarios	69.5		
Teguise	2016	Sueldos y salarios	70		
Teguise	2015	Sueldos y salarios	69.8		
Teguise	2023	Pensiones	11.3		
Teguise	2022	Pensiones	11		
Teguise	2021	Pensiones	11.4		
Teguise	2020	Pensiones	12.4		
Teguise	2019	Pensiones	10.9		
Teguise	2018	Pensiones	10.7		
Teguise	2017	Pensiones	10.8		
Teguise	2016	Pensiones	11		
Teguise	2015	Pensiones	11		
Teguise	2023	Prestaciones por desempleo	1.6		
Teguise	2022	Prestaciones por desempleo	1.8		
Teguise	2021	Prestaciones por desempleo	6.9		
Teguise	2020	Prestaciones por desempleo	9.5		
Teguise	2019	Prestaciones por desempleo	2.1		
Teguise	2018	Prestaciones por desempleo	2		
Teguise	2017	Prestaciones por desempleo	2.2		
Teguise	2016	Prestaciones por desempleo	2.4		
Teguise	2015	Prestaciones por desempleo	2.7		
Teguise	2023	Otras prestaciones	2.7		
Teguise	2022	Otras prestaciones	2.9		
Teguise	2021	Otras prestaciones	3		
Teguise	2020	Otras prestaciones	2.8		
Teguise	2019	Otras prestaciones	2.5		
Teguise	2018	Otras prestaciones	2.5		
Teguise	2017	Otras prestaciones	2.3		
Teguise	2016	Otras prestaciones	2.2		
Teguise	2015	Otras prestaciones	2.1		
Teguise	2023	Otros ingresos	19.6		
Teguise	2022	Otros ingresos	19.3		
Teguise	2021	Otros ingresos	16.4		
Teguise	2020	Otros ingresos	13.6		
Teguise	2019	Otros ingresos	16.7		
Teguise	2018	Otros ingresos	17.1		
Teguise	2017	Otros ingresos	15.2		
Teguise	2016	Otros ingresos	14.4		
Teguise	2015	Otros ingresos	14.4		
Tías	2023	Sueldos y salarios	58.3		
Tías	2022	Sueldos y salarios	58.7		
Tías	2021	Sueldos y salarios	50.5		
Tías	2020	Sueldos y salarios	51.1		
Tías	2019	Sueldos y salarios	61.4		
Tías	2018	Sueldos y salarios	61.5		
Tías	2017	Sueldos y salarios	61.3		
Tías	2016	Sueldos y salarios	61.1		
Tías	2015	Sueldos y salarios	61		
Tías	2023	Pensiones	12.8		
Tías	2022	Pensiones	13.2		
Tías	2021	Pensiones	13.7		
Tías	2020	Pensiones	14		
Tías	2019	Pensiones	11.7		
Tías	2018	Pensiones	11.3		
Tías	2017	Pensiones	11.9		
Tías	2016	Pensiones	12.7		
Tías	2015	Pensiones	12.5		
Tías	2023	Prestaciones por desempleo	1.7		
Tías	2022	Prestaciones por desempleo	2.2		
Tías	2021	Prestaciones por desempleo	11.3		
Tías	2020	Prestaciones por desempleo	15.6		
Tías	2019	Prestaciones por desempleo	2.5		
Tías	2018	Prestaciones por desempleo	2.6		
Tías	2017	Prestaciones por desempleo	2.6		
Tías	2016	Prestaciones por desempleo	2.8		
Tías	2015	Prestaciones por desempleo	3.2		
Tías	2023	Otras prestaciones	2.8		
Tías	2022	Otras prestaciones	2.8		
Tías	2021	Otras prestaciones	2.9		
Tías	2020	Otras prestaciones	3		
Tías	2019	Otras prestaciones	2.3		
Tías	2018	Otras prestaciones	2.2		
Tías	2017	Otras prestaciones	2		
Tías	2016	Otras prestaciones	1.8		
Tías	2015	Otras prestaciones	2		
Tías	2023	Otros ingresos	24.4		
Tías	2022	Otros ingresos	23.1		
Tías	2021	Otros ingresos	21.6		
Tías	2020	Otros ingresos	16.3		
Tías	2019	Otros ingresos	22.1		
Tías	2018	Otros ingresos	22.4		
Tías	2017	Otros ingresos	22.2		
Tías	2016	Otros ingresos	21.6		
Tías	2015	Otros ingresos	21.3		
Tinajo	2023	Sueldos y salarios	65.4		
Tinajo	2022	Sueldos y salarios	66.2		
Tinajo	2021	Sueldos y salarios	61.1		
Tinajo	2020	Sueldos y salarios	58.9		
Tinajo	2019	Sueldos y salarios	67.9		
Tinajo	2018	Sueldos y salarios	67.9		
Tinajo	2017	Sueldos y salarios	68		
Tinajo	2016	Sueldos y salarios	68.9		
Tinajo	2015	Sueldos y salarios	67.9		
Tinajo	2023	Pensiones	12.1		
Tinajo	2022	Pensiones	12.1		
Tinajo	2021	Pensiones	12.7		
Tinajo	2020	Pensiones	13.2		
Tinajo	2019	Pensiones	11.9		
Tinajo	2018	Pensiones	11.7		
Tinajo	2017	Pensiones	12.1		
Tinajo	2016	Pensiones	12.3		
Tinajo	2015	Pensiones	12.9		
Tinajo	2023	Prestaciones por desempleo	1.8		
Tinajo	2022	Prestaciones por desempleo	2.4		
Tinajo	2021	Prestaciones por desempleo	8.4		
Tinajo	2020	Prestaciones por desempleo	11.9		
Tinajo	2019	Prestaciones por desempleo	2.6		
Tinajo	2018	Prestaciones por desempleo	2.8		
Tinajo	2017	Prestaciones por desempleo	3.2		
Tinajo	2016	Prestaciones por desempleo	3.5		
Tinajo	2015	Prestaciones por desempleo	3.6		
Tinajo	2023	Otras prestaciones	3.3		
Tinajo	2022	Otras prestaciones	3.3		
Tinajo	2021	Otras prestaciones	3.2		
Tinajo	2020	Otras prestaciones	3.1		
Tinajo	2019	Otras prestaciones	2.6		
Tinajo	2018	Otras prestaciones	2.8		
Tinajo	2017	Otras prestaciones	2.6		
Tinajo	2016	Otras prestaciones	2.4		
Tinajo	2015	Otras prestaciones	2.5		
Tinajo	2023	Otros ingresos	17.5		
Tinajo	2022	Otros ingresos	16		
Tinajo	2021	Otros ingresos	14.6		
Tinajo	2020	Otros ingresos	12.9		
Tinajo	2019	Otros ingresos	14.9		
Tinajo	2018	Otros ingresos	14.8		
Tinajo	2017	Otros ingresos	14.1		
Tinajo	2016	Otros ingresos	13.1		
Tinajo	2015	Otros ingresos	13.1		
Yaiza	2023	Sueldos y salarios	65.6		
Yaiza	2022	Sueldos y salarios	65.1		
Yaiza	2021	Sueldos y salarios	52.8		
Yaiza	2020	Sueldos y salarios	50.1		
Yaiza	2019	Sueldos y salarios	68.7		
Yaiza	2018	Sueldos y salarios	68.3		
Yaiza	2017	Sueldos y salarios	69.9		
Yaiza	2016	Sueldos y salarios	69		
Yaiza	2015	Sueldos y salarios	68.8		
Yaiza	2023	Pensiones	9.8		
Yaiza	2022	Pensiones	10		
Yaiza	2021	Pensiones	11.1		
Yaiza	2020	Pensiones	10.9		
Yaiza	2019	Pensiones	8.6		
Yaiza	2018	Pensiones	8.2		
Yaiza	2017	Pensiones	8.3		
Yaiza	2016	Pensiones	8.6		
Yaiza	2015	Pensiones	9.2		
Yaiza	2023	Prestaciones por desempleo	1.8		
Yaiza	2022	Prestaciones por desempleo	2.2		
Yaiza	2021	Prestaciones por desempleo	15		
Yaiza	2020	Prestaciones por desempleo	22.4		
Yaiza	2019	Prestaciones por desempleo	3.7		
Yaiza	2018	Prestaciones por desempleo	3.4		
Yaiza	2017	Prestaciones por desempleo	3.5		
Yaiza	2016	Prestaciones por desempleo	4.4		
Yaiza	2015	Prestaciones por desempleo	4.6		
Yaiza	2023	Otras prestaciones	2.8		
Yaiza	2022	Otras prestaciones	3		
Yaiza	2021	Otras prestaciones	3.2		
Yaiza	2020	Otras prestaciones	3		
Yaiza	2019	Otras prestaciones	2.6		
Yaiza	2018	Otras prestaciones	2.5		
Yaiza	2017	Otras prestaciones	2.2		
Yaiza	2016	Otras prestaciones	2.1		
Yaiza	2015	Otras prestaciones	2		
Yaiza	2023	Otros ingresos	20.1		
Yaiza	2022	Otros ingresos	19.7		
Yaiza	2021	Otros ingresos	17.9		
Yaiza	2020	Otros ingresos	13.7		
Yaiza	2019	Otros ingresos	16.5		
Yaiza	2018	Otros ingresos	17.6		
Yaiza	2017	Otros ingresos	16.1		
Yaiza	2016	Otros ingresos	16		
Yaiza	2015	Otros ingresos	15.4		
Fuerteventura	2023	Sueldos y salarios	67.5		
Fuerteventura	2022	Sueldos y salarios	67.2		
Fuerteventura	2021	Sueldos y salarios	60.5		
Fuerteventura	2020	Sueldos y salarios	57.1		
Fuerteventura	2019	Sueldos y salarios	69.5		
Fuerteventura	2018	Sueldos y salarios	70.2		
Fuerteventura	2017	Sueldos y salarios	71		
Fuerteventura	2016	Sueldos y salarios	70.9		
Fuerteventura	2015	Sueldos y salarios	69.9		
Fuerteventura	2023	Pensiones	11.9		
Fuerteventura	2022	Pensiones	11.9		
Fuerteventura	2021	Pensiones	12.3		
Fuerteventura	2020	Pensiones	12.5		
Fuerteventura	2019	Pensiones	10.7		
Fuerteventura	2018	Pensiones	10.3		
Fuerteventura	2017	Pensiones	10.5		
Fuerteventura	2016	Pensiones	10.8		
Fuerteventura	2015	Pensiones	11.1		
Fuerteventura	2023	Prestaciones por desempleo	2.5		
Fuerteventura	2022	Prestaciones por desempleo	2.9		
Fuerteventura	2021	Prestaciones por desempleo	10		
Fuerteventura	2020	Prestaciones por desempleo	15.7		
Fuerteventura	2019	Prestaciones por desempleo	4		
Fuerteventura	2018	Prestaciones por desempleo	3.7		
Fuerteventura	2017	Prestaciones por desempleo	3.7		
Fuerteventura	2016	Prestaciones por desempleo	4		
Fuerteventura	2015	Prestaciones por desempleo	4.6		
Fuerteventura	2023	Otras prestaciones	3.8		
Fuerteventura	2022	Otras prestaciones	3.9		
Fuerteventura	2021	Otras prestaciones	3.8		
Fuerteventura	2020	Otras prestaciones	3.6		
Fuerteventura	2019	Otras prestaciones	3		
Fuerteventura	2018	Otras prestaciones	2.8		
Fuerteventura	2017	Otras prestaciones	2.5		
Fuerteventura	2016	Otras prestaciones	2.3		
Fuerteventura	2015	Otras prestaciones	2.5		
Fuerteventura	2023	Otros ingresos	14.3		
Fuerteventura	2022	Otros ingresos	14.2		
Fuerteventura	2021	Otros ingresos	13.4		
Fuerteventura	2020	Otros ingresos	11.2		
Fuerteventura	2019	Otros ingresos	12.8		
Fuerteventura	2018	Otros ingresos	13		
Fuerteventura	2017	Otros ingresos	12.2		
Fuerteventura	2016	Otros ingresos	12.1		
Fuerteventura	2015	Otros ingresos	11.9		
Antigua	2023	Sueldos y salarios	64.4		
Antigua	2022	Sueldos y salarios	64.3		
Antigua	2021	Sueldos y salarios	58.4		
Antigua	2020	Sueldos y salarios	56.5		
Antigua	2019	Sueldos y salarios	68.7		
Antigua	2018	Sueldos y salarios	69.4		
Antigua	2017	Sueldos y salarios	69.7		
Antigua	2016	Sueldos y salarios	69.5		
Antigua	2015	Sueldos y salarios	68.1		
Antigua	2023	Pensiones	14.5		
Antigua	2022	Pensiones	14		
Antigua	2021	Pensiones	14.8		
Antigua	2020	Pensiones	14.5		
Antigua	2019	Pensiones	12.2		
Antigua	2018	Pensiones	11.4		
Antigua	2017	Pensiones	11.2		
Antigua	2016	Pensiones	11.5		
Antigua	2015	Pensiones	12.2		
Antigua	2023	Prestaciones por desempleo	2.4		
Antigua	2022	Prestaciones por desempleo	3		
Antigua	2021	Prestaciones por desempleo	9.9		
Antigua	2020	Prestaciones por desempleo	14.8		
Antigua	2019	Prestaciones por desempleo	3.8		
Antigua	2018	Prestaciones por desempleo	3.5		
Antigua	2017	Prestaciones por desempleo	4		
Antigua	2016	Prestaciones por desempleo	4.2		
Antigua	2015	Prestaciones por desempleo	4.8		
Antigua	2023	Otras prestaciones	3.4		
Antigua	2022	Otras prestaciones	3.6		
Antigua	2021	Otras prestaciones	3.5		
Antigua	2020	Otras prestaciones	3		
Antigua	2019	Otras prestaciones	2.5		
Antigua	2018	Otras prestaciones	2.4		
Antigua	2017	Otras prestaciones	2.4		
Antigua	2016	Otras prestaciones	2.2		
Antigua	2015	Otras prestaciones	2.5		
Antigua	2023	Otros ingresos	15.4		
Antigua	2022	Otros ingresos	15.1		
Antigua	2021	Otros ingresos	13.4		
Antigua	2020	Otros ingresos	11.3		
Antigua	2019	Otros ingresos	12.8		
Antigua	2018	Otros ingresos	13.3		
Antigua	2017	Otros ingresos	12.8		
Antigua	2016	Otros ingresos	12.5		
Antigua	2015	Otros ingresos	12.4		
Betancuria	2023	Sueldos y salarios	53.3		
Betancuria	2022	Sueldos y salarios	51		
Betancuria	2021	Sueldos y salarios	47.9		
Betancuria	2020	Sueldos y salarios	46.6		
Betancuria	2019	Sueldos y salarios	52.8		
Betancuria	2018	Sueldos y salarios	51.6		
Betancuria	2017	Sueldos y salarios	56.5		
Betancuria	2016	Sueldos y salarios	55.6		
Betancuria	2015	Sueldos y salarios	56.6		
Betancuria	2023	Pensiones	20.6		
Betancuria	2022	Pensiones	19.2		
Betancuria	2021	Pensiones	21.7		
Betancuria	2020	Pensiones	22.3		
Betancuria	2019	Pensiones	20.5		
Betancuria	2018	Pensiones	20.8		
Betancuria	2017	Pensiones	22.7		
Betancuria	2016	Pensiones	21.9		
Betancuria	2015	Pensiones	22		
Betancuria	2023	Prestaciones por desempleo	1.9		
Betancuria	2022	Prestaciones por desempleo	1.7		
Betancuria	2021	Prestaciones por desempleo	5.4		
Betancuria	2020	Prestaciones por desempleo	8.9		
Betancuria	2019	Prestaciones por desempleo	2.6		
Betancuria	2018	Prestaciones por desempleo	2.9		
Betancuria	2017	Prestaciones por desempleo	3		
Betancuria	2016	Prestaciones por desempleo	3.2		
Betancuria	2015	Prestaciones por desempleo	3.6		
Betancuria	2023	Otras prestaciones	4.1		
Betancuria	2022	Otras prestaciones	4.2		
Betancuria	2021	Otras prestaciones	5		
Betancuria	2020	Otras prestaciones	4.5		
Betancuria	2019	Otras prestaciones	3.7		
Betancuria	2018	Otras prestaciones	3.3		
Betancuria	2017	Otras prestaciones	3.4		
Betancuria	2016	Otras prestaciones	2.7		
Betancuria	2015	Otras prestaciones	2.8		
Betancuria	2023	Otros ingresos	20		
Betancuria	2022	Otros ingresos	23.9		
Betancuria	2021	Otros ingresos	20.1		
Betancuria	2020	Otros ingresos	17.8		
Betancuria	2019	Otros ingresos	20.5		
Betancuria	2018	Otros ingresos	21.4		
Betancuria	2017	Otros ingresos	14.4		
Betancuria	2016	Otros ingresos	16.6		
Betancuria	2015	Otros ingresos	15.1		
La Oliva	2023	Sueldos y salarios	60.6		
La Oliva	2022	Sueldos y salarios	60.7		
La Oliva	2021	Sueldos y salarios	53.7		
La Oliva	2020	Sueldos y salarios	51		
La Oliva	2019	Sueldos y salarios	64.5		
La Oliva	2018	Sueldos y salarios	65.4		
La Oliva	2017	Sueldos y salarios	66.6		
La Oliva	2016	Sueldos y salarios	66.2		
La Oliva	2015	Sueldos y salarios	66		
La Oliva	2023	Pensiones	11.4		
La Oliva	2022	Pensiones	11.2		
La Oliva	2021	Pensiones	11.9		
La Oliva	2020	Pensiones	12.1		
La Oliva	2019	Pensiones	10.1		
La Oliva	2018	Pensiones	9.8		
La Oliva	2017	Pensiones	10		
La Oliva	2016	Pensiones	10.6		
La Oliva	2015	Pensiones	10.6		
La Oliva	2023	Prestaciones por desempleo	2.7		
La Oliva	2022	Prestaciones por desempleo	3		
