CPRO,CISLA,ISLA,CMUN,DC,NOMBRE,ISLA_clean,Territorio
35,351,Fuerteventura,3,8,Antigua,Fuerteventura,Antigua
35,351,Fuerteventura,7,5,Betancuria,Fuerteventura,Betancuria
35,351,Fuerteventura,14,1,"Oliva, La",Fuerteventura,La Oliva
35,351,Fuerteventura,15,4,Pájara,Fuerteventura,Pájara
35,351,Fuerteventura,17,3,Puerto del Rosario,Fuerteventura,Puerto Del Rosario
35,351,Fuerteventura,30,4,Tuineje,Fuerteventura,Tuineje
35,352,Gran Canaria,1,7,Agaete,Gran Canaria,Agaete
35,352,Gran Canaria,2,2,Agüimes,Gran Canaria,Agüimes
35,352,Gran Canaria,20,6,"Aldea de San Nicolás, La",Gran Canaria,La Aldea De San Nicolás
35,352,Gran Canaria,5,6,Artenara,Gran Canaria,Artenara
35,352,Gran Canaria,6,9,Arucas,Gran Canaria,Arucas
35,352,Gran Canaria,8,1,Firgas,Gran Canaria,Firgas
35,352,Gran Canaria,9,4,Gáldar,Gran Canaria,Gáldar
35,352,Gran Canaria,11,5,Ingenio,Gran Canaria,Ingenio
35,352,Gran Canaria,12,0,Mogán,Gran Canaria,Mogán
35,352,Gran Canaria,13,6,Moya,Gran Canaria,Moya
35,352,Gran Canaria,16,7,"Palmas de Gran Canaria, Las",Gran Canaria,Las Palmas De Gran Canaria
35,352,Gran Canaria,19,2,San Bartolomé de Tirajana,Gran Canaria,San Bartolomé De Tirajana
35,352,Gran Canaria,21,3,Santa Brígida,Gran Canaria,Santa Brígida
35,352,Gran Canaria,22,8,Santa Lucía de Tirajana,Gran Canaria,Santa Lucía De Tirajana
35,352,Gran Canaria,23,4,Santa María de Guía de Gran Canaria,Gran Canaria,Santa María De Guía De Gran Canaria
35,352,Gran Canaria,25,2,Tejeda,Gran Canaria,Tejeda
35,352,Gran Canaria,26,5,Telde,Gran Canaria,Telde
35,352,Gran Canaria,27,1,Teror,Gran Canaria,Teror
35,352,Gran Canaria,32,6,Valleseco,Gran Canaria,Valleseco
35,352,Gran Canaria,31,1,Valsequillo de Gran Canaria,Gran Canaria,Valsequillo De Gran Canaria
35,352,Gran Canaria,33,2,Vega de San Mateo,Gran Canaria,Vega De San Mateo
35,353,Lanzarote,4,3,Arrecife,Lanzarote,Arrecife
35,353,Lanzarote,10,8,Haría,Lanzarote,Haría
35,353,Lanzarote,18,9,San Bartolomé,Lanzarote,San Bartolomé
35,353,Lanzarote,24,9,Teguise,Lanzarote,Teguise
35,353,Lanzarote,28,7,Tías,Lanzarote,Tías
35,353,Lanzarote,29,0,Tinajo,Lanzarote,Tinajo
35,353,Lanzarote,34,7,Yaiza,Lanzarote,Yaiza
38,381,"Gomera, La ",2,7,Agulo,La Gomera,Agulo
38,381,"Gomera, La ",3,3,Alajeró,La Gomera,Alajeró
38,381,"Gomera, La ",21,8,Hermigua,La Gomera,Hermigua
38,381,"Gomera, La ",36,8,San Sebastián de la Gomera,La Gomera,San Sebastián De La Gomera
38,381,"Gomera, La ",49,1,Valle Gran Rey,La Gomera,Valle Gran Rey
38,381,"Gomera, La ",50,4,Vallehermoso,La Gomera,Vallehermoso
38,382,"Hierro, El ",13,1,Frontera,El Hierro,Frontera
38,382,"Hierro, El ",901,3,"Pinar de El Hierro, El",El Hierro,El Pinar De El Hierro
38,382,"Hierro, El ",48,8,Valverde,El Hierro,Valverde
38,383,"Palma, La ",7,0,Barlovento,La Palma,Barlovento
38,383,"Palma, La ",8,6,Breña Alta,La Palma,Breña Alta
38,383,"Palma, La ",9,9,Breña Baja,La Palma,Breña Baja
38,383,"Palma, La ",14,6,Fuencaliente de la Palma,La Palma,Fuencaliente De La Palma
38,383,"Palma, La ",16,2,Garafía,La Palma,Garafía
38,383,"Palma, La ",24,4,"Llanos de Aridane, Los",La Palma,Los Llanos De Aridane
38,383,"Palma, La ",27,6,"Paso, El",La Palma,El Paso
38,383,"Palma, La ",29,5,Puntagorda,La Palma,Puntagorda
38,383,"Palma, La ",30,9,Puntallana,La Palma,Puntallana
38,383,"Palma, La ",33,7,San Andrés y Sauces,La Palma,San Andrés Y Sauces
38,383,"Palma, La ",37,4,Santa Cruz de la Palma,La Palma,Santa Cruz De La Palma
38,383,"Palma, La ",45,3,Tazacorte,La Palma,Tazacorte
38,383,"Palma, La ",47,2,Tijarafe,La Palma,Tijarafe
38,383,"Palma, La ",53,2,Villa de Mazo,La Palma,Villa De Mazo
38,384,Tenerife,1,2,Adeje,Tenerife,Adeje
38,384,Tenerife,4,8,Arafo,Tenerife,Arafo
38,384,Tenerife,5,1,Arico,Tenerife,Arico
38,384,Tenerife,6,4,Arona,Tenerife,Arona
38,384,Tenerife,10,3,Buenavista del Norte,Tenerife,Buenavista Del Norte
38,384,Tenerife,11,0,Candelaria,Tenerife,Candelaria
38,384,Tenerife,12,5,Fasnia,Tenerife,Fasnia
38,384,Tenerife,15,9,Garachico,Tenerife,Garachico
38,384,Tenerife,17,8,Granadilla de Abona,Tenerife,Granadilla De Abona
38,384,Tenerife,18,4,"Guancha, La",Tenerife,La Guancha
38,384,Tenerife,19,7,Guía de Isora,Tenerife,Guía De Isora
38,384,Tenerife,20,1,Güímar,Tenerife,Güímar
38,384,Tenerife,22,3,Icod de los Vinos,Tenerife,Icod De Los Vinos
38,384,Tenerife,25,7,"Matanza de Acentejo, La",Tenerife,La Matanza De Acentejo
38,384,Tenerife,26,0,"Orotava, La",Tenerife,La Orotava
38,384,Tenerife,28,2,Puerto de la Cruz,Tenerife,Puerto De La Cruz
38,384,Tenerife,31,6,"Realejos, Los",Tenerife,Los Realejos
38,384,Tenerife,32,1,"Rosario, El",Tenerife,El Rosario
38,384,Tenerife,23,9,San Cristóbal de La Laguna,Tenerife,San Cristóbal De La Laguna
38,384,Tenerife,34,2,San Juan de la Rambla,Tenerife,San Juan De La Rambla
38,384,Tenerife,35,5,San Miguel de Abona,Tenerife,San Miguel De Abona
38,384,Tenerife,38,0,Santa Cruz de Tenerife,Tenerife,Santa Cruz De Tenerife
38,384,Tenerife,39,3,Santa Úrsula,Tenerife,Santa Úrsula
38,384,Tenerife,40,7,Santiago del Teide,Tenerife,Santiago Del Teide
38,384,Tenerife,41,4,"Sauzal, El",Tenerife,El Sauzal
38,384,Tenerife,42,9,"Silos, Los",Tenerife,Los Silos
38,384,Tenerife,43,5,Tacoronte,Tenerife,Tacoronte
38,384,Tenerife,44,0,"Tanque, El",Tenerife,El Tanque
38,384,Tenerife,46,6,Tegueste,Tenerife,Tegueste
38,384,Tenerife,51,1,"Victoria de Acentejo, La",Tenerife,La Victoria De Acentejo
38,384,Tenerife,52,6,Vilaflor de Chasna,Tenerife,Vilaflor De Chasna
