Sexo,Nacionalidad,Nivel de estudios en curso,Periodo,Total,Municipio_clean,ISLA_clean
Hombres,Extranjera,Educación primaria e inferior,2021,0,Agaete,Gran Canaria
Hombres,Española,Educación primaria e inferior,2021,0,Artenara,Gran Canaria
Hombres,Extranjera,Educación primaria e inferior,2021,0,Artenara,Gran Canaria
Hombres,Extranjera,Educación primaria e inferior,2021,0,Arucas,Gran Canaria
Hombres,Española,Educación primaria e inferior,2021,0,Betancuria,Fuerteventura
Hombres,Extranjera,Educación primaria e inferior,2021,0,Betancuria,Fuerteventura
Hombres,Extranjera,Educación primaria e inferior,2021,0,Firgas,Gran Canaria
Hombres,Española,Educación primaria e inferior,2021,0,Haría,Lanzarote
Hombres,Extranjera,Educación primaria e inferior,2021,0,Haría,Lanzarote
Hombres,Extranjera,Educación primaria e inferior,2021,0,Ingenio,Gran Canaria
Hombres,Extranjera,Educación primaria e inferior,2021,0,Moya,Gran Canaria
Hombres,Extranjera,Educación primaria e inferior,2021,0,Santa Brígida,Gran Canaria
Hombres,Extranjera,Educación primaria e inferior,2021,0,Tejeda,Gran Canaria
Hombres,Extranjera,Educación primaria e inferior,2021,0,Teror,Gran Canaria
Hombres,Extranjera,Educación primaria e inferior,2021,0,Valsequillo De Gran Canaria,Gran Canaria
Hombres,Española,Educación primaria e inferior,2021,0,Valleseco,Gran Canaria
Hombres,Extranjera,Educación primaria e inferior,2021,0,Valleseco,Gran Canaria
Hombres,Extranjera,Educación primaria e inferior,2021,0,Vega De San Mateo,Gran Canaria
Hombres,Extranjera,Educación primaria e inferior,2021,0,Agulo,La Gomera
Hombres,Española,Educación primaria e inferior,2021,0,Alajeró,La Gomera
Hombres,Extranjera,Educación primaria e inferior,2021,0,Alajeró,La Gomera
Hombres,Extranjera,Educación primaria e inferior,2021,0,Arafo,Tenerife
Hombres,Española,Educación primaria e inferior,2021,0,Arico,Tenerife
Hombres,Extranjera,Educación primaria e inferior,2021,0,Arico,Tenerife
Hombres,Española,Educación primaria e inferior,2021,0,Barlovento,La Palma
Hombres,Extranjera,Educación primaria e inferior,2021,0,Barlovento,La Palma
Hombres,Española,Educación primaria e inferior,2021,0,Buenavista Del Norte,Tenerife
Hombres,Extranjera,Educación primaria e inferior,2021,0,Candelaria,Tenerife
Hombres,Española,Educación primaria e inferior,2021,0,Fasnia,Tenerife
Hombres,Extranjera,Educación primaria e inferior,2021,0,Fasnia,Tenerife
Hombres,Española,Educación primaria e inferior,2021,0,Frontera,El Hierro
Hombres,Extranjera,Educación primaria e inferior,2021,0,Frontera,El Hierro
Hombres,Extranjera,Educación primaria e inferior,2021,0,Fuencaliente De La Palma,La Palma
Hombres,Extranjera,Educación primaria e inferior,2021,0,Garachico,Tenerife
Hombres,Española,Educación primaria e inferior,2021,0,Garafía,La Palma
Hombres,Extranjera,Educación primaria e inferior,2021,0,Garafía,La Palma
Hombres,Extranjera,Educación primaria e inferior,2021,0,La Guancha,Tenerife
Hombres,Extranjera,Educación primaria e inferior,2021,0,Güímar,Tenerife
Hombres,Española,Educación primaria e inferior,2021,0,Hermigua,La Gomera
Hombres,Extranjera,Educación primaria e inferior,2021,0,Hermigua,La Gomera
Hombres,Extranjera,Educación primaria e inferior,2021,0,Icod De Los Vinos,Tenerife
Hombres,Extranjera,Educación primaria e inferior,2021,0,La Matanza De Acentejo,Tenerife
Hombres,Extranjera,Educación primaria e inferior,2021,0,La Orotava,Tenerife
Hombres,Extranjera,Educación primaria e inferior,2021,0,El Paso,La Palma
Hombres,Extranjera,Educación primaria e inferior,2021,0,Puerto De La Cruz,Tenerife
Hombres,Española,Educación primaria e inferior,2021,0,Puntagorda,La Palma
