Territorio,Año,Fuente_Renta,Fuente_Renta_Code,Porcentaje,ISLA_clean
Canarias,2015,Sueldos y salarios,SUELDOS_SALARIOS,62.2,
Canarias,2016,Sueldos y salarios,SUELDOS_SALARIOS,62.7,
Canarias,2017,Sueldos y salarios,SUELDOS_SALARIOS,62.7,
Canarias,2018,Sueldos y salarios,SUELDOS_SALARIOS,62.7,
Canarias,2019,Sueldos y salarios,SUELDOS_SALARIOS,62.5,
Canarias,2020,Sueldos y salarios,SUELDOS_SALARIOS,56.6,
Canarias,2021,Sueldos y salarios,SUELDOS_SALARIOS,58.3,
Canarias,2022,Sueldos y salarios,SUELDOS_SALARIOS,61.2,
Canarias,2023,Sueldos y salarios,SUELDOS_SALARIOS,61.4,
Canarias,2015,Otros ingresos,OTROS_INGRESOS,12.3,
Canarias,2016,Otros ingresos,OTROS_INGRESOS,12.5,
Canarias,2017,Otros ingresos,OTROS_INGRESOS,12.9,
Canarias,2018,Otros ingresos,OTROS_INGRESOS,13.3,
Canarias,2019,Otros ingresos,OTROS_INGRESOS,13.3,
Canarias,2020,Otros ingresos,OTROS_INGRESOS,11.4,
Canarias,2021,Otros ingresos,OTROS_INGRESOS,12.9,
Canarias,2022,Otros ingresos,OTROS_INGRESOS,13.7,
Canarias,2023,Otros ingresos,OTROS_INGRESOS,14.0,
Canarias,2015,Otras prestaciones,OTRAS_PRESTACIONES,3.3,
Canarias,2016,Otras prestaciones,OTRAS_PRESTACIONES,3.3,
Canarias,2017,Otras prestaciones,OTRAS_PRESTACIONES,3.6,
Canarias,2018,Otras prestaciones,OTRAS_PRESTACIONES,3.6,
Canarias,2019,Otras prestaciones,OTRAS_PRESTACIONES,3.7,
Canarias,2020,Otras prestaciones,OTRAS_PRESTACIONES,4.3,
Canarias,2021,Otras prestaciones,OTRAS_PRESTACIONES,4.6,
Canarias,2022,Otras prestaciones,OTRAS_PRESTACIONES,4.5,
Canarias,2023,Otras prestaciones,OTRAS_PRESTACIONES,4.5,
Canarias,2015,Pensiones,PENSIONES,18.5,
Canarias,2016,Pensiones,PENSIONES,18.2,
Canarias,2017,Pensiones,PENSIONES,17.8,
Canarias,2018,Pensiones,PENSIONES,17.5,
Canarias,2019,Pensiones,PENSIONES,17.6,
Canarias,2020,Pensiones,PENSIONES,19.0,
Canarias,2021,Pensiones,PENSIONES,18.4,
Canarias,2022,Pensiones,PENSIONES,18.1,
Canarias,2023,Pensiones,PENSIONES,17.8,
Canarias,2015,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,3.8,
Canarias,2016,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,3.4,
Canarias,2017,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,3.1,
Canarias,2018,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,2.9,
Canarias,2019,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,2.9,
Canarias,2020,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,8.7,
Canarias,2021,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,5.8,
Canarias,2022,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,2.6,
Canarias,2023,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,2.3,
Las Palmas,2015,Sueldos y salarios,SUELDOS_SALARIOS,62.8,
Las Palmas,2016,Sueldos y salarios,SUELDOS_SALARIOS,63.5,
Las Palmas,2017,Sueldos y salarios,SUELDOS_SALARIOS,63.4,
Las Palmas,2018,Sueldos y salarios,SUELDOS_SALARIOS,63.5,
Las Palmas,2019,Sueldos y salarios,SUELDOS_SALARIOS,63.1,
Las Palmas,2020,Sueldos y salarios,SUELDOS_SALARIOS,56.9,
Las Palmas,2021,Sueldos y salarios,SUELDOS_SALARIOS,58.8,
Las Palmas,2022,Sueldos y salarios,SUELDOS_SALARIOS,61.8,
Las Palmas,2023,Sueldos y salarios,SUELDOS_SALARIOS,61.8,
Las Palmas,2015,Otros ingresos,OTROS_INGRESOS,12.5,
Las Palmas,2016,Otros ingresos,OTROS_INGRESOS,12.6,
Las Palmas,2017,Otros ingresos,OTROS_INGRESOS,13.0,
Las Palmas,2018,Otros ingresos,OTROS_INGRESOS,13.3,
Las Palmas,2019,Otros ingresos,OTROS_INGRESOS,13.4,
Las Palmas,2020,Otros ingresos,OTROS_INGRESOS,11.4,
Las Palmas,2021,Otros ingresos,OTROS_INGRESOS,12.9,
Las Palmas,2022,Otros ingresos,OTROS_INGRESOS,13.7,
Las Palmas,2023,Otros ingresos,OTROS_INGRESOS,14.0,
Las Palmas,2015,Otras prestaciones,OTRAS_PRESTACIONES,3.6,
Las Palmas,2016,Otras prestaciones,OTRAS_PRESTACIONES,3.7,
Las Palmas,2017,Otras prestaciones,OTRAS_PRESTACIONES,3.9,
Las Palmas,2018,Otras prestaciones,OTRAS_PRESTACIONES,3.9,
Las Palmas,2019,Otras prestaciones,OTRAS_PRESTACIONES,4.1,
Las Palmas,2020,Otras prestaciones,OTRAS_PRESTACIONES,4.7,
Las Palmas,2021,Otras prestaciones,OTRAS_PRESTACIONES,5.0,
Las Palmas,2022,Otras prestaciones,OTRAS_PRESTACIONES,4.9,
Las Palmas,2023,Otras prestaciones,OTRAS_PRESTACIONES,5.0,
Las Palmas,2015,Pensiones,PENSIONES,17.3,
Las Palmas,2016,Pensiones,PENSIONES,17.0,
Las Palmas,2017,Pensiones,PENSIONES,16.7,
Las Palmas,2018,Pensiones,PENSIONES,16.5,
Las Palmas,2019,Pensiones,PENSIONES,16.6,
Las Palmas,2020,Pensiones,PENSIONES,18.1,
Las Palmas,2021,Pensiones,PENSIONES,17.4,
Las Palmas,2022,Pensiones,PENSIONES,17.1,
Las Palmas,2023,Pensiones,PENSIONES,17.0,
